hyperparameters,iteration,runtime,score
"{'subsample': 0.8888888888888888, 'colsample_bytree': 0.7222222222222222, 'gamma': 0.1111111111111111, 'min_child_weight': 6, 'learning_rate': 0.00025433267703277155, 'max_depth': 7}",82,560.6617628630047,0.7413775228548983
"{'subsample': 1.0, 'colsample_bytree': 0.9444444444444444, 'gamma': 0.0, 'min_child_weight': 7, 'learning_rate': 0.009879377828218313, 'max_depth': 9}",83,937.8021669899972,0.7672527760344375
"{'subsample': 0.5555555555555556, 'colsample_bytree': 0.7777777777777778, 'gamma': 0.0, 'min_child_weight': 4, 'learning_rate': 2.8694797555654396e-05, 'max_depth': 4}",84,334.4775866889977,0.7236973417431235
"{'subsample': 1.0, 'colsample_bytree': 0.5555555555555556, 'gamma': 0.7777777777777777, 'min_child_weight': 2, 'learning_rate': 0.00035673028579869665, 'max_depth': 7}",85,469.6802814870025,0.7438181346396957
"{'subsample': 0.6666666666666666, 'colsample_bytree': 0.8333333333333333, 'gamma': 0.6666666666666666, 'min_child_weight': 8, 'learning_rate': 0.00021848925329928017, 'max_depth': 7}",86,622.1045432040046,0.7390411072587322
"{'subsample': 0.6111111111111112, 'colsample_bytree': 0.9444444444444444, 'gamma': 0.0, 'min_child_weight': 9, 'learning_rate': 0.015263342451503825, 'max_depth': 9}",87,894.3787357679976,0.7752933875898591
"{'subsample': 0.5, 'colsample_bytree': 0.6666666666666666, 'gamma': 0.6666666666666666, 'min_child_weight': 6, 'learning_rate': 0.00010953602586076834, 'max_depth': 6}",88,441.2575329960018,0.7393200092898592
"{'subsample': 0.9444444444444444, 'colsample_bytree': 0.9444444444444444, 'gamma': 0.2222222222222222, 'min_child_weight': 7, 'learning_rate': 2.5693511868561246e-05, 'max_depth': 3}",89,310.75745600400114,0.7067874603439985
"{'subsample': 0.5555555555555556, 'colsample_bytree': 0.5, 'gamma': 0.0, 'min_child_weight': 8, 'learning_rate': 0.01569078141099048, 'max_depth': 9}",90,579.3554130709963,0.7754656355891936
"{'subsample': 0.6666666666666666, 'colsample_bytree': 0.5555555555555556, 'gamma': 0.1111111111111111, 'min_child_weight': 4, 'learning_rate': 0.0038098222720060033, 'max_depth': 5}",91,330.40379504299926,0.7459404018862458
"{'subsample': 0.8888888888888888, 'colsample_bytree': 0.8333333333333333, 'gamma': 1.0, 'min_child_weight': 1, 'learning_rate': 0.0029508808170926495, 'max_depth': 6}",92,525.5365185810006,0.7402224887127306
"{'subsample': 0.7777777777777778, 'colsample_bytree': 0.7777777777777778, 'gamma': 0.5555555555555556, 'min_child_weight': 5, 'learning_rate': 5.416096797349893e-05, 'max_depth': 6}",93,496.1173795729992,0.7345875061860292
"{'subsample': 0.8888888888888888, 'colsample_bytree': 0.8333333333333333, 'gamma': 0.7777777777777777, 'min_child_weight': 8, 'learning_rate': 6.662670680164679e-05, 'max_depth': 7}",94,626.4930102479993,0.7368369140786835
"{'subsample': 0.8333333333333333, 'colsample_bytree': 0.6111111111111112, 'gamma': 0.3333333333333333, 'min_child_weight': 1, 'learning_rate': 0.001722069404444214, 'max_depth': 7}",95,504.8281663040034,0.7472974804862698
"{'subsample': 0.8333333333333333, 'colsample_bytree': 0.8888888888888888, 'gamma': 1.0, 'min_child_weight': 2, 'learning_rate': 0.006177544558666983, 'max_depth': 9}",96,902.6316844740068,0.760076153816845
"{'subsample': 0.6111111111111112, 'colsample_bytree': 0.8888888888888888, 'gamma': 0.0, 'min_child_weight': 6, 'learning_rate': 0.001629524155856377, 'max_depth': 6}",97,544.8739993490017,0.7366436003316863
"{'subsample': 0.9444444444444444, 'colsample_bytree': 0.8888888888888888, 'gamma': 0.2222222222222222, 'min_child_weight': 6, 'learning_rate': 0.011579782655705981, 'max_depth': 6}",98,563.2596714730025,0.7665427282154533
"{'subsample': 0.7222222222222222, 'colsample_bytree': 0.5, 'gamma': 0.5555555555555556, 'min_child_weight': 6, 'learning_rate': 0.0019770846801635774, 'max_depth': 4}",99,256.8838707840041,0.7362334670683035
"{'subsample': 1.0, 'colsample_bytree': 0.5555555555555556, 'gamma': 0.2222222222222222, 'min_child_weight': 5, 'learning_rate': 0.00023249769921338667, 'max_depth': 4}",100,264.25383143199724,0.7290741625300702
